episode,jobs_arrived,jobs_completed,job_completion_ratio,ops_arrived,ops_completed,op_completion_ratio
0,26,18,69.23076923076923,80,63,78.75
1,26,17,65.38461538461539,80,57,71.25
2,26,16,61.53846153846154,80,57,71.25
3,26,20,76.92307692307693,80,60,75.0
4,26,18,69.23076923076923,80,58,72.5
5,26,16,61.53846153846154,80,58,72.5
6,26,18,69.23076923076923,80,61,76.25
7,26,18,69.23076923076923,80,61,76.25
8,26,17,65.38461538461539,80,54,67.5
9,26,16,61.53846153846154,80,51,63.74999999999999
10,26,15,57.692307692307686,80,50,62.5
11,26,18,69.23076923076923,80,57,71.25
12,26,15,57.692307692307686,80,54,67.5
13,26,17,65.38461538461539,80,60,75.0
14,26,15,57.692307692307686,80,54,67.5
15,26,19,73.07692307692307,80,63,78.75
16,26,18,69.23076923076923,80,60,75.0
17,26,17,65.38461538461539,80,59,73.75
18,26,19,73.07692307692307,80,59,73.75
19,26,18,69.23076923076923,80,63,78.75
20,26,17,65.38461538461539,80,60,75.0
21,26,15,57.692307692307686,80,54,67.5
22,26,16,61.53846153846154,80,54,67.5
23,26,16,61.53846153846154,80,57,71.25
24,26,19,73.07692307692307,80,61,76.25
25,26,16,61.53846153846154,80,54,67.5
26,26,17,65.38461538461539,80,59,73.75
27,26,19,73.07692307692307,80,61,76.25
28,26,19,73.07692307692307,80,59,73.75
29,26,14,53.84615384615385,80,54,67.5
30,26,16,61.53846153846154,80,55,68.75
31,26,18,69.23076923076923,80,58,72.5
32,26,20,76.92307692307693,80,59,73.75
33,26,18,69.23076923076923,80,57,71.25
34,26,16,61.53846153846154,80,54,67.5
35,26,18,69.23076923076923,80,60,75.0
36,26,17,65.38461538461539,80,56,70.0
37,26,18,69.23076923076923,80,60,75.0
38,26,16,61.53846153846154,80,58,72.5
39,26,18,69.23076923076923,80,57,71.25
40,26,16,61.53846153846154,80,54,67.5
41,26,16,61.53846153846154,80,55,68.75
42,26,15,57.692307692307686,80,55,68.75
43,26,17,65.38461538461539,80,55,68.75
44,26,20,76.92307692307693,80,61,76.25
45,26,17,65.38461538461539,80,60,75.0
46,26,16,61.53846153846154,80,56,70.0
47,26,17,65.38461538461539,80,60,75.0
