episode,jobs_arrived,jobs_completed,job_completion_ratio,ops_arrived,ops_completed,op_completion_ratio
1,26,18,69.23076923076923,80,63,78.75
2,26,17,65.38461538461539,80,57,71.25
3,26,16,61.53846153846154,80,57,71.25
4,26,20,76.92307692307693,80,60,75.0
5,26,18,69.23076923076923,80,58,72.5
6,26,16,61.53846153846154,80,58,72.5
7,26,18,69.23076923076923,80,61,76.25
8,26,15,57.692307692307686,80,54,67.5
9,26,17,65.38461538461539,80,60,75.0
10,26,15,57.692307692307686,80,54,67.5
11,26,19,73.07692307692307,80,63,78.75
12,26,18,69.23076923076923,80,60,75.0
13,26,17,65.38461538461539,80,59,73.75
14,26,19,73.07692307692307,80,59,73.75
15,26,18,69.23076923076923,80,63,78.75
16,26,16,61.53846153846154,80,54,67.5
17,26,17,65.38461538461539,80,59,73.75
18,26,19,73.07692307692307,80,61,76.25
19,26,19,73.07692307692307,80,59,73.75
20,26,14,53.84615384615385,80,54,67.5
21,26,16,61.53846153846154,80,55,68.75
22,26,18,69.23076923076923,80,58,72.5
23,26,20,76.92307692307693,80,59,73.75
24,26,16,61.53846153846154,80,58,72.5
25,26,18,69.23076923076923,80,57,71.25
26,26,16,61.53846153846154,80,54,67.5
27,26,16,61.53846153846154,80,55,68.75
28,26,15,57.692307692307686,80,55,68.75
29,26,17,65.38461538461539,80,55,68.75
30,26,20,76.92307692307693,80,61,76.25
31,26,17,65.38461538461539,80,60,75.0
32,26,18,69.23076923076923,80,58,72.5
33,26,16,61.53846153846154,80,59,73.75
34,26,20,76.92307692307693,80,64,80.0
35,26,16,61.53846153846154,80,56,70.0
36,26,19,73.07692307692307,80,63,78.75
37,26,15,57.692307692307686,80,56,70.0
38,26,16,61.53846153846154,80,54,67.5
39,26,16,61.53846153846154,80,56,70.0
40,26,16,61.53846153846154,80,54,67.5
41,26,16,61.53846153846154,80,57,71.25
42,26,17,65.38461538461539,80,57,71.25
43,26,18,69.23076923076923,80,57,71.25
44,26,16,61.53846153846154,80,55,68.75
45,26,18,69.23076923076923,80,59,73.75
46,26,19,73.07692307692307,80,63,78.75
47,26,17,65.38461538461539,80,58,72.5
48,26,19,73.07692307692307,80,61,76.25
49,26,18,69.23076923076923,80,59,73.75
50,26,14,53.84615384615385,80,58,72.5
51,26,19,73.07692307692307,80,57,71.25
52,26,19,73.07692307692307,80,61,76.25
53,26,17,65.38461538461539,80,59,73.75
54,26,17,65.38461538461539,80,58,72.5
55,26,16,61.53846153846154,80,58,72.5
56,26,17,65.38461538461539,80,62,77.5
57,26,18,69.23076923076923,80,58,72.5
58,26,19,73.07692307692307,80,58,72.5
59,26,18,69.23076923076923,80,63,78.75
60,26,17,65.38461538461539,80,55,68.75
61,26,17,65.38461538461539,80,52,65.0
62,26,16,61.53846153846154,80,56,70.0
63,26,17,65.38461538461539,80,57,71.25
64,26,17,65.38461538461539,80,61,76.25
65,26,20,76.92307692307693,80,63,78.75
66,26,16,61.53846153846154,80,61,76.25
67,26,17,65.38461538461539,80,58,72.5
68,26,18,69.23076923076923,80,63,78.75
69,26,20,76.92307692307693,80,64,80.0
70,26,18,69.23076923076923,80,58,72.5
71,26,18,69.23076923076923,80,61,76.25
72,26,20,76.92307692307693,80,59,73.75
73,26,18,69.23076923076923,80,59,73.75
74,26,18,69.23076923076923,80,59,73.75
75,26,18,69.23076923076923,80,59,73.75
76,26,19,73.07692307692307,80,62,77.5
77,26,18,69.23076923076923,80,62,77.5
78,26,18,69.23076923076923,80,61,76.25
79,26,16,61.53846153846154,80,56,70.0
80,26,18,69.23076923076923,80,60,75.0
81,26,17,65.38461538461539,80,55,68.75
82,26,18,69.23076923076923,80,61,76.25
83,26,17,65.38461538461539,80,61,76.25
84,26,16,61.53846153846154,80,58,72.5
85,26,19,73.07692307692307,80,63,78.75
86,26,19,73.07692307692307,80,58,72.5
87,26,18,69.23076923076923,80,60,75.0
88,26,16,61.53846153846154,80,56,70.0
89,26,13,50.0,80,51,63.74999999999999
90,26,18,69.23076923076923,80,61,76.25
91,26,18,69.23076923076923,80,62,77.5
92,26,19,73.07692307692307,80,58,72.5
93,26,17,65.38461538461539,80,56,70.0
94,26,14,53.84615384615385,80,55,68.75
95,26,17,65.38461538461539,80,55,68.75
96,26,16,61.53846153846154,80,56,70.0
97,26,17,65.38461538461539,80,61,76.25
98,26,19,73.07692307692307,80,64,80.0
99,26,18,69.23076923076923,80,61,76.25
100,26,17,65.38461538461539,80,58,72.5
101,26,14,53.84615384615385,80,53,66.25
102,26,16,61.53846153846154,80,54,67.5
103,26,18,69.23076923076923,80,59,73.75
