decision_time,job_id,obs_current_op_type,allowed_machine_indices,avail_actions,action_idx,state_n_jobs_arrived,state_n_jobs_processing,state_n_jobs_waiting,state_n_ops_arrived,state_n_ops_processing,state_n_ops_waiting,state_avg_machine_util,state_avg_operator_util,state_global_avg_wait,state_episode_time_fraction
1.0,0,1.0,"[0, 2, 3, 4]","[1, 0, 1, 1, 1]",3,4.0,5.0,0.0,14.0,5.0,9.0,0.0,0.0,0.0,0.009999999776482582
1.0,1,8.0,"[1, 3, 4]","[0, 1, 0, 1, 1]",3,4.0,5.0,0.0,14.0,5.0,9.0,0.20000000298023224,0.0,0.0,0.009999999776482582
1.0,2,6.0,"[2, 4]","[0, 0, 1, 0, 1]",4,4.0,5.0,0.0,14.0,5.0,9.0,0.20000000298023224,0.0,0.0,0.009999999776482582
1.0,3,2.0,"[0, 2]","[1, 0, 1, 0, 0]",2,4.0,5.0,0.0,14.0,5.0,9.0,0.4000000059604645,0.0,0.0,0.009999999776482582
1.0,4,8.0,"[1, 3, 4]","[0, 1, 0, 1, 1]",1,4.0,5.0,0.0,14.0,5.0,9.0,0.6000000238418579,0.0,0.0,0.009999999776482582
2.0,4,0,"[1, 3, 4]","[0, 1, 0, 1, 1]",-1,4.0,5.0,0.0,14.0,5.0,9.0,0.6000000238418579,0.0,3.0,0.019999999552965164
3.0,0,8.0,"[1, 3, 4]","[0, 1, 0, 1, 1]",0,4.0,6.0,0.0,14.0,6.0,8.0,0.4000000059604645,0.0,5.400000095367432,0.029999999329447746
3.0,0,1,"[1, 3, 4]","[0, 1, 0, 1, 1]",0,4.0,6.0,0.0,14.0,6.0,8.0,0.4000000059604645,0.0,5.400000095367432,0.029999999329447746
3.0,5,0,"[1, 2, 4]","[0, 1, 1, 0, 1]",-1,4.0,6.0,0.0,14.0,6.0,8.0,0.4000000059604645,0.0,5.400000095367432,0.029999999329447746
3.0,3,3.0,"[0, 3, 4]","[1, 0, 0, 1, 1]",2,4.0,6.0,0.0,14.0,6.0,8.0,0.4000000059604645,0.0,5.400000095367432,0.029999999329447746
