episode,epoch,episode_reward,episode_duration,wait_time,epsilon
1,0,4.1358,50.00,5.6309,0.997031
2,0,1.2861,50.00,9.8078,0.995547
3,0,5.5309,50.00,7.0076,0.994062
4,1,2.9788,50.00,9.1675,0.992578
5,1,3.4816,50.00,8.5388,0.991094
6,1,4.1518,50.00,11.7240,0.989609
7,1,5.0830,50.00,8.9117,0.988125
13,2,3.2187,50.00,10.7435,0.986641
14,2,2.1529,50.00,10.1966,0.985156
15,2,5.9502,50.00,7.0773,0.983672
16,2,3.3298,50.00,9.6584,0.982187
17,3,5.0319,50.00,9.1138,0.980703
18,3,3.5836,50.00,7.9413,0.979219
19,3,2.8158,50.00,11.0903,0.977734
20,3,3.3254,50.00,9.5665,0.976250
26,4,1.9661,50.00,9.9743,0.974766
27,4,3.3940,50.00,11.7404,0.973281
28,4,4.3496,50.00,10.2854,0.971797
29,4,3.6426,50.00,9.2969,0.970313
30,5,3.0946,50.00,6.9532,0.968828
31,5,4.7154,50.00,7.2871,0.967373
32,5,3.1327,50.00,12.4962,0.965889
33,5,2.8364,50.00,8.7671,0.964405
39,6,4.5903,50.00,5.7396,0.962920
40,6,2.8174,50.00,9.4134,0.961436
41,6,3.0951,50.00,8.8471,0.959952
42,6,3.2921,50.00,6.6573,0.958467
43,7,2.2211,50.00,11.8361,0.956983
44,7,4.7889,50.00,6.6434,0.955528
45,7,3.0984,50.00,7.2354,0.954044
46,7,4.2670,50.00,9.5294,0.952559
52,8,3.3545,50.00,9.2256,0.951075
53,8,1.9428,50.00,8.6336,0.949591
54,8,2.4230,50.00,12.4769,0.948106
55,8,2.1206,50.00,14.3794,0.946622
56,9,2.2155,50.00,7.2066,0.945137
57,9,2.7823,50.00,10.1837,0.943653
58,9,3.4794,50.00,6.6628,0.942169
59,9,3.9999,50.00,9.9579,0.940684
65,10,3.6647,50.00,7.0230,0.939200
66,10,3.1681,50.00,7.8271,0.937716
67,10,2.2647,50.00,10.8506,0.936231
68,10,2.7320,50.00,10.9761,0.934747
69,11,2.6852,50.00,14.0049,0.933262
70,11,5.3710,50.00,7.7953,0.931778
71,11,4.2992,50.00,9.4359,0.930294
72,11,4.0379,50.00,11.4250,0.928809
78,12,2.5623,50.00,11.1105,0.927325
79,12,3.5218,50.00,9.5962,0.925841
80,12,2.9041,50.00,6.5740,0.924356
81,12,3.3860,50.00,11.4203,0.922872
82,13,3.4494,50.00,10.9658,0.921388
83,13,2.9041,50.00,6.5740,0.919903
84,13,3.2756,50.00,9.5808,0.918448
85,13,3.5524,50.00,10.1838,0.916964
91,14,4.7823,50.00,7.0652,0.915480
92,14,5.0221,50.00,4.0761,0.913995
93,14,4.5203,50.00,9.0629,0.912511
94,14,4.3683,50.00,4.8986,0.911027
