episode,epoch,episode_reward,episode_duration,wait_time,epsilon,original_episode
1,0,34.1969,50.0,5.6309,0.99625,1
2,0,20.8361,50.0,9.8078,0.994375,2
3,0,33.9449,50.0,7.0076,0.9925,3
4,1,26.4611,50.0,9.1675,0.990625,4
5,1,29.8676,50.0,8.5388,0.98875,5
6,1,27.1412,50.0,11.724,0.986875,6
7,1,31.8407,50.0,8.9117,0.985,7
8,2,26.9607,50.0,10.7435,0.983125,13
9,2,23.3156,50.0,10.1966,0.98125,14
10,2,32.2393,50.0,7.6682,0.979375,15
11,2,29.4879,50.0,9.4005,0.9775,16
12,3,34.529,50.0,5.6252,0.975625,17
13,3,35.4349,50.0,6.6782,0.97375,18
14,3,25.397,50.0,10.0198,0.971875,19
15,3,26.2313,50.0,9.5665,0.97,20
16,4,28.1013,50.0,9.6057,0.968125,26
17,4,26.8502,50.0,9.2101,0.96625,27
18,4,37.5089,50.0,4.788,0.964375,28
19,4,18.2735,50.0,12.9012,0.9625,29
20,5,30.8126,50.0,7.1181,0.960625,30
21,5,31.0691,50.0,8.0259,0.95875,31
22,5,29.2469,50.0,9.3145,0.956875,32
23,5,29.6783,50.0,10.4581,0.955,33
24,6,27.7178,50.0,10.6023,0.953125,39
25,6,31.5569,50.0,6.7597,0.95125,40
26,6,32.3097,50.0,6.8934,0.949375,41
27,6,25.7675,50.0,7.3548,0.9475,42
28,7,33.6981,50.0,6.1945,0.945625,43
29,7,35.7092,50.0,4.8586,0.943788,44
30,7,31.1007,50.0,6.983,0.941913,45
31,7,29.8148,50.0,12.4733,0.940037,46
32,8,29.8159,50.0,9.2839,0.938163,52
33,8,32.2876,50.0,7.302,0.936287,53
34,8,26.4739,50.0,10.0169,0.934412,54
35,8,35.3406,50.0,5.7729,0.932538,55
36,9,20.2179,50.0,13.336,0.930662,56
37,9,32.8744,50.0,9.7975,0.928787,57
38,9,24.6116,50.0,10.5136,0.926913,58
39,9,31.9123,50.0,8.0471,0.925037,59
40,10,25.0813,50.0,10.4513,0.923162,65
41,10,29.4937,50.0,7.5305,0.921288,66
42,10,23.0951,50.0,12.7551,0.919412,67
43,10,30.8258,50.0,9.6623,0.917538,68
44,11,31.1106,50.0,7.6252,0.915663,69
45,11,34.9331,50.0,4.8967,0.913787,70
46,11,28.7496,50.0,9.0577,0.911913,71
47,11,19.7283,50.0,12.1887,0.910038,72
48,12,30.6095,50.0,7.7098,0.908162,78
49,12,20.8432,50.0,15.5822,0.906288,79
50,12,35.8429,50.0,3.6317,0.904412,80
51,12,26.8498,50.0,11.5458,0.902537,81
52,13,30.5357,50.0,7.0819,0.900663,82
53,13,31.6108,50.0,9.2011,0.898787,83
54,13,27.1442,50.0,11.1696,0.896913,84
55,13,31.3561,50.0,7.8194,0.895037,85
56,14,29.3318,50.0,9.288,0.893162,91
57,14,35.8354,50.0,5.5648,0.891288,92
58,14,34.9774,50.0,6.7157,0.889412,93
59,14,35.1072,50.0,4.9745,0.887537,94
60,15,34.8076,50.0,6.0188,0.885663,95
61,15,27.3739,50.0,12.1373,0.883787,96
62,15,27.5086,50.0,8.0896,0.881912,97
63,15,30.4276,50.0,8.8596,0.880038,98
64,16,37.5121,50.0,6.7971,0.878162,104
65,16,23.6303,50.0,11.2432,0.876287,105
66,16,32.7274,50.0,6.3839,0.874413,106
67,16,29.0866,50.0,5.9742,0.872537,107
68,17,31.4498,50.0,7.1669,0.870663,108
69,17,33.0666,50.0,5.4202,0.868788,109
70,17,25.1422,50.0,10.8359,0.866912,110
71,17,33.4827,50.0,7.1631,0.865038,111
72,18,29.9504,50.0,9.2638,0.863163,117
73,18,20.84,50.0,12.6469,0.861287,118
74,18,31.2986,50.0,9.8624,0.859413,119
75,18,32.2863,50.0,6.7304,0.857575,120
76,19,24.4321,50.0,8.1008,0.8557,121
77,19,26.9499,50.0,9.495,0.853825,122
78,19,30.3915,50.0,10.3887,0.85195,123
79,19,25.997,50.0,11.2625,0.850075,124
80,20,30.1868,50.0,8.4761,0.8482,130
