tensor(26.2660, grad_fn=<DivBackward0>)
tensor(14124.7598, grad_fn=<DivBackward0>)
tensor(321.9930, grad_fn=<DivBackward0>)
tensor(49.3775, grad_fn=<DivBackward0>)
tensor(83.2542, grad_fn=<DivBackward0>)
tensor(41.5067, grad_fn=<DivBackward0>)
tensor(53.6477, grad_fn=<DivBackward0>)
tensor(22.0004, grad_fn=<DivBackward0>)
tensor(31.9977, grad_fn=<DivBackward0>)
tensor(22.7143, grad_fn=<DivBackward0>)
tensor(23.6029, grad_fn=<DivBackward0>)
tensor(13.3136, grad_fn=<DivBackward0>)
tensor(19.7892, grad_fn=<DivBackward0>)
tensor(15.3061, grad_fn=<DivBackward0>)
tensor(17.1195, grad_fn=<DivBackward0>)
tensor(12.3027, grad_fn=<DivBackward0>)
tensor(14.4063, grad_fn=<DivBackward0>)
tensor(11.3951, grad_fn=<DivBackward0>)
tensor(14.4614, grad_fn=<DivBackward0>)
tensor(10.5942, grad_fn=<DivBackward0>)
tensor(14.8035, grad_fn=<DivBackward0>)
tensor(10.0839, grad_fn=<DivBackward0>)
tensor(13.7238, grad_fn=<DivBackward0>)
tensor(10.2247, grad_fn=<DivBackward0>)
tensor(11.7653, grad_fn=<DivBackward0>)
tensor(9.4823, grad_fn=<DivBackward0>)
tensor(11.4202, grad_fn=<DivBackward0>)
tensor(9.5953, grad_fn=<DivBackward0>)
tensor(12.4690, grad_fn=<DivBackward0>)
tensor(9.7238, grad_fn=<DivBackward0>)
tensor(13.3540, grad_fn=<DivBackward0>)
tensor(8.1271, grad_fn=<DivBackward0>)
tensor(12.7841, grad_fn=<DivBackward0>)
tensor(7.4486, grad_fn=<DivBackward0>)
tensor(12.0373, grad_fn=<DivBackward0>)
tensor(7.2796, grad_fn=<DivBackward0>)
tensor(10.9980, grad_fn=<DivBackward0>)
tensor(6.9645, grad_fn=<DivBackward0>)
tensor(10.4976, grad_fn=<DivBackward0>)
tensor(7.1091, grad_fn=<DivBackward0>)
tensor(9.8605, grad_fn=<DivBackward0>)
tensor(7.0867, grad_fn=<DivBackward0>)
tensor(11.0696, grad_fn=<DivBackward0>)
tensor(6.8651, grad_fn=<DivBackward0>)
tensor(13.3934, grad_fn=<DivBackward0>)
tensor(8.2308, grad_fn=<DivBackward0>)
tensor(14.3924, grad_fn=<DivBackward0>)
tensor(6.9368, grad_fn=<DivBackward0>)
tensor(14.7502, grad_fn=<DivBackward0>)
tensor(6.6208, grad_fn=<DivBackward0>)
tensor(11.3385, grad_fn=<DivBackward0>)
tensor(3.1519, grad_fn=<DivBackward0>)
tensor(15.5841, grad_fn=<DivBackward0>)
