epoch,machine,capability,raw_util,adjusted_util
0,0,5,0.30435,0.280002
0,1,3,0.29305000000000003,0.44934333333333343
0,2,5,0.53375,0.49104999999999993
0,3,4,0.44079999999999997,0.5069199999999999
0,4,6,0.6565000000000001,0.5033166666666666
1,0,5,0.33355,0.30686599999999997
1,1,3,0.2852,0.4373066666666667
1,2,5,0.5242,0.4822639999999999
1,3,4,0.42224999999999996,0.48558749999999995
1,4,6,0.6985,0.5355166666666666
2,0,5,0.30615000000000003,0.28165799999999996
2,1,3,0.2642,0.4051066666666667
2,2,5,0.57235,0.526562
2,3,4,0.45075,0.5183625
2,4,6,0.67305,0.516005
3,0,5,0.3754,0.34536799999999995
3,1,3,0.34365,0.52693
3,2,5,0.5715,0.5257799999999999
3,3,4,0.37395,0.43004249999999994
3,4,6,0.66795,0.512095
4,0,5,0.34290000000000004,0.31546799999999997
4,1,3,0.20375000000000001,0.3124166666666667
4,2,5,0.59765,0.5498379999999999
4,3,4,0.36164999999999997,0.4158974999999999
4,4,6,0.61975,0.47514166666666663
5,0,5,0.42495,0.3909539999999999
5,1,3,0.21335000000000004,0.3271366666666667
5,2,5,0.5931,0.5456519999999999
5,3,4,0.36955,0.42498249999999993
5,4,6,0.5906500000000001,0.45283166666666674
6,0,5,0.28975,0.26657
6,1,3,0.28075000000000006,0.4304833333333334
6,2,5,0.61785,0.568422
6,3,4,0.36615,0.4210724999999999
6,4,6,0.5593000000000001,0.4287966666666667
7,0,5,0.42535,0.39132199999999995
7,1,3,0.29395000000000004,0.45072333333333336
7,2,5,0.5708,0.5251359999999999
7,3,4,0.32030000000000003,0.368345
7,4,6,0.6266499999999999,0.48043166666666665
8,0,5,0.36765000000000003,0.338238
8,1,3,0.3516,0.53912
8,2,5,0.50495,0.46455399999999997
8,3,4,0.4292,0.49357999999999996
8,4,6,0.6555500000000001,0.5025883333333333
9,0,5,0.36315000000000003,0.33409799999999995
9,1,3,0.30795,0.47219
9,2,5,0.5950500000000001,0.5474459999999999
9,3,4,0.3542,0.40732999999999997
9,4,6,0.5796000000000001,0.44436000000000003
10,0,5,0.35595000000000004,0.327474
10,1,3,0.29650000000000004,0.45463333333333333
10,2,5,0.54,0.4967999999999999
10,3,4,0.39,0.44849999999999995
10,4,6,0.6225,0.47725
11,0,5,0.36845000000000006,0.338974
11,1,3,0.32285,0.4950366666666667
11,2,5,0.52815,0.48589799999999994
11,3,4,0.40475,0.46546249999999995
11,4,6,0.6479,0.49672333333333335
12,0,5,0.3447,0.31712399999999996
12,1,3,0.26245,0.4024233333333333
12,2,5,0.5467,0.502964
12,3,4,0.5004,0.57546
12,4,6,0.6136,0.4704266666666667
13,0,5,0.3711,0.34141199999999994
13,1,3,0.32705,0.5014766666666667
13,2,5,0.49405,0.45452599999999993
13,3,4,0.45810000000000006,0.526815
13,4,6,0.5699000000000001,0.43692333333333344
14,0,5,0.37105,0.34136599999999995
14,1,3,0.28600000000000003,0.4385333333333334
14,2,5,0.5094000000000001,0.4686479999999999
14,3,4,0.49054999999999993,0.5641324999999999
14,4,6,0.5664,0.43423999999999996
15,0,5,0.43425,0.39951
15,1,3,0.31920000000000004,0.48944000000000004
15,2,5,0.47995,0.44155399999999995
15,3,4,0.42355,0.4870824999999999
15,4,6,0.60415,0.46318166666666666
16,0,5,0.43510000000000004,0.400292
16,1,3,0.29825,0.4573166666666667
16,2,5,0.5642499999999999,0.5191099999999998
16,3,4,0.43005,0.4945575
16,4,6,0.6189,0.47449
17,0,5,0.3273,0.30111599999999994
17,1,3,0.22035000000000002,0.33787
17,2,5,0.58135,0.5348419999999999
17,3,4,0.45625,0.5246875
17,4,6,0.6188,0.47441333333333335
18,0,5,0.3275,0.3013
18,1,3,0.29475,0.45195
18,2,5,0.61965,0.5700779999999999
18,3,4,0.44665,0.5136475
18,4,6,0.66525,0.510025
19,0,5,0.39815,0.36629799999999996
19,1,3,0.23620000000000002,0.36217333333333335
19,2,5,0.522,0.48024
19,3,4,0.46735,0.5374524999999999
19,4,6,0.61275,0.46977500000000005
20,0,5,0.36150000000000004,0.33258
20,1,3,0.31055,0.4761766666666667
20,2,5,0.5617500000000001,0.51681
20,3,4,0.43274999999999997,0.4976624999999999
20,4,6,0.6206,0.4757933333333333
21,0,5,0.30295,0.27871399999999996
21,1,3,0.2579,0.3954466666666667
21,2,5,0.5165500000000001,0.475226
21,3,4,0.46685,0.5368774999999999
21,4,6,0.639,0.4899
22,0,5,0.37360000000000004,0.34371199999999996
22,1,3,0.228,0.3496
22,2,5,0.49115,0.4518579999999999
22,3,4,0.49965000000000004,0.5745975
22,4,6,0.60745,0.4657116666666667
23,0,5,0.33530000000000004,0.308476
23,1,3,0.32535000000000003,0.49887000000000004
23,2,5,0.49135,0.45204199999999994
23,3,4,0.4441,0.5107149999999999
23,4,6,0.65475,0.5019750000000001
24,0,5,0.38045,0.35001399999999994
24,1,3,0.23085,0.35397
24,2,5,0.57685,0.5307019999999999
24,3,4,0.43074999999999997,0.49536249999999993
24,4,6,0.6346,0.48652666666666666
25,0,5,0.3236,0.2977119999999999
25,1,3,0.3044,0.4667466666666667
25,2,5,0.5705500000000001,0.524906
25,3,4,0.45999999999999996,0.5289999999999999
25,4,6,0.5715500000000001,0.4381883333333334
26,0,5,0.3822,0.35162399999999994
26,1,3,0.2247,0.34454
26,2,5,0.53855,0.4954659999999999
26,3,4,0.45904999999999996,0.5279074999999999
26,4,6,0.56365,0.4321316666666667
27,0,5,0.358,0.32936
27,1,3,0.29040000000000005,0.44528
27,2,5,0.5176499999999999,0.4762379999999999
27,3,4,0.45594999999999997,0.5243424999999999
27,4,6,0.6144000000000001,0.47104
28,0,5,0.42965000000000003,0.39527799999999996
28,1,3,0.2631,0.40342
28,2,5,0.60365,0.5553579999999999
28,3,4,0.38159999999999994,0.43883999999999995
28,4,6,0.57335,0.43956833333333334
29,0,5,0.40349999999999997,0.37121999999999994
29,1,3,0.28600000000000003,0.43853333333333333
29,2,5,0.5689000000000001,0.523388
29,3,4,0.4213,0.48449499999999995
29,4,6,0.625,0.47916666666666663
30,0,5,0.3808,0.3503359999999999
30,1,3,0.25095,0.38479
30,2,5,0.5112000000000001,0.47030399999999994
30,3,4,0.4598,0.52877
30,4,6,0.6479,0.4967233333333333
31,0,5,0.42180000000000006,0.38805599999999996
31,1,3,0.26215,0.40196333333333334
31,2,5,0.5561,0.511612
31,3,4,0.44005,0.5060574999999999
31,4,6,0.63895,0.48986166666666664
32,0,5,0.37175,0.34201
32,1,3,0.2109,0.32338
32,2,5,0.6384000000000001,0.587328
32,3,4,0.4478,0.5149699999999999
32,4,6,0.64785,0.49668499999999993
33,0,5,0.30625,0.28174999999999994
33,1,3,0.32070000000000004,0.49174000000000007
33,2,5,0.5169,0.47554799999999997
33,3,4,0.44294999999999995,0.5093924999999999
33,4,6,0.66105,0.5068050000000001
34,0,5,0.34145,0.3141339999999999
34,1,3,0.30000000000000004,0.4600000000000001
34,2,5,0.47235,0.4345619999999999
34,3,4,0.39725,0.4568374999999999
34,4,6,0.6722999999999999,0.5154299999999999
35,0,5,0.34140000000000004,0.3140879999999999
35,1,3,0.25620000000000004,0.39284
35,2,5,0.5098,0.46901599999999993
35,3,4,0.47519999999999996,0.5464799999999999
35,4,6,0.64865,0.49729833333333334
36,0,5,0.41645000000000004,0.383134
36,1,3,0.2702,0.4143066666666667
36,2,5,0.57225,0.5264699999999999
36,3,4,0.39145,0.45016749999999994
36,4,6,0.6022500000000001,0.461725
37,0,5,0.33955,0.31238599999999994
37,1,3,0.23870000000000002,0.3660066666666667
37,2,5,0.5114000000000001,0.470488
37,3,4,0.4204,0.48345999999999995
37,4,6,0.67995,0.521295
38,0,5,0.36565000000000003,0.336398
38,1,3,0.29125,0.44658333333333333
38,2,5,0.5941000000000001,0.546572
38,3,4,0.42269999999999996,0.48610499999999995
38,4,6,0.61895,0.47452833333333333
39,0,5,0.3668,0.337456
39,1,3,0.3035,0.4653666666666667
39,2,5,0.64905,0.5971259999999999
39,3,4,0.37115,0.42682249999999994
39,4,6,0.618,0.4738
40,0,5,0.38585,0.35498199999999996
40,1,3,0.26655,0.40871
40,2,5,0.5319499999999999,0.48939399999999994
40,3,4,0.396,0.4553999999999999
40,4,6,0.5959500000000001,0.45689500000000005
41,0,5,0.49195000000000005,0.45259399999999994
41,1,3,0.22035000000000002,0.33787
41,2,5,0.57115,0.525458
41,3,4,0.3699,0.425385
41,4,6,0.603,0.46230000000000004
42,0,5,0.39990000000000003,0.36790799999999996
42,1,3,0.25630000000000003,0.39299333333333336
42,2,5,0.5875,0.5405
42,3,4,0.36955,0.42498249999999993
42,4,6,0.6687,0.51267
43,0,5,0.3325,0.3059
43,1,3,0.29305000000000003,0.4493433333333333
43,2,5,0.5885499999999999,0.5414659999999999
43,3,4,0.3655,0.42032499999999995
43,4,6,0.6898,0.5288466666666667
44,0,5,0.36240000000000006,0.333408
44,1,3,0.22820000000000001,0.3499066666666667
44,2,5,0.6135,0.5644199999999999
44,3,4,0.37225,0.42808749999999995
44,4,6,0.5847500000000001,0.4483083333333334
45,0,5,0.37805,0.34780599999999995
45,1,3,0.20025,0.30705
45,2,5,0.59265,0.5452379999999999
45,3,4,0.44445,0.5111175
45,4,6,0.6042000000000001,0.4632200000000001
46,0,5,0.40240000000000004,0.370208
46,1,3,0.2713,0.4159933333333333
46,2,5,0.5743499999999999,0.5284019999999999
46,3,4,0.33235,0.38220249999999995
46,4,6,0.6285000000000001,0.48185
47,0,5,0.3518,0.32365599999999994
47,1,3,0.26235,0.40227
47,2,5,0.58565,0.5387979999999999
47,3,4,0.34855,0.4008324999999999
47,4,6,0.6758,0.5181133333333333
48,0,5,0.34650000000000003,0.31877999999999995
48,1,3,0.26155,0.40104333333333336
48,2,5,0.52275,0.48092999999999997
48,3,4,0.415,0.4772499999999999
48,4,6,0.6119,0.4691233333333333
49,0,5,0.37170000000000003,0.34196399999999993
49,1,3,0.2388,0.36616000000000004
49,2,5,0.64205,0.5906859999999999
49,3,4,0.4507,0.518305
49,4,6,0.6188,0.47441333333333335
50,0,5,0.40080000000000005,0.36873599999999995
50,1,3,0.29555000000000003,0.45317666666666667
50,2,5,0.6094,0.560648
50,3,4,0.3828,0.44021999999999994
50,4,6,0.6443000000000001,0.49396333333333337
51,0,5,0.4418500000000001,0.406502
51,1,3,0.224,0.3434666666666667
51,2,5,0.57965,0.5332779999999999
51,3,4,0.33645,0.38691749999999997
51,4,6,0.67405,0.5167716666666666
52,0,5,0.3517,0.32356399999999996
52,1,3,0.29475,0.45194999999999996
52,2,5,0.55905,0.514326
52,3,4,0.36169999999999997,0.4159549999999999
52,4,6,0.70185,0.5380849999999999
53,0,5,0.3579,0.32926799999999995
53,1,3,0.29555000000000003,0.4531766666666667
53,2,5,0.5761499999999999,0.5300579999999999
53,3,4,0.3851,0.44286499999999995
53,4,6,0.5969500000000001,0.4576616666666667
54,0,5,0.34450000000000003,0.31694
54,1,3,0.29205000000000003,0.44781000000000004
54,2,5,0.5297499999999999,0.48736999999999997
54,3,4,0.35109999999999997,0.40376499999999993
54,4,6,0.7448999999999999,0.57109
55,0,5,0.43310000000000004,0.3984519999999999
55,1,3,0.2992,0.4587733333333333
55,2,5,0.5575,0.5128999999999999
55,3,4,0.34704999999999997,0.39910749999999995
55,4,6,0.6705,0.51405
56,0,5,0.3624,0.333408
56,1,3,0.3095,0.4745666666666667
56,2,5,0.5546500000000001,0.510278
56,3,4,0.39189999999999997,0.4506849999999999
56,4,6,0.7045,0.5401166666666667
57,0,5,0.4294,0.39504799999999995
57,1,3,0.26770000000000005,0.41047333333333336
57,2,5,0.52225,0.48046999999999995
57,3,4,0.35955,0.4134825
57,4,6,0.7573,0.5805966666666666
58,0,5,0.37720000000000004,0.347024
58,1,3,0.30615000000000003,0.46943
58,2,5,0.42890000000000006,0.394588
58,3,4,0.32830000000000004,0.37754499999999996
58,4,6,0.73195,0.5611616666666667
59,0,5,0.3552,0.32678399999999996
59,1,3,0.2852,0.4373066666666667
59,2,5,0.50015,0.46013799999999994
59,3,4,0.38054999999999994,0.4376324999999999
59,4,6,0.66365,0.5087983333333332
60,0,5,0.4034,0.37112799999999996
60,1,3,0.3184,0.48821333333333333
60,2,5,0.5105,0.4696599999999999
60,3,4,0.31295,0.35989249999999995
60,4,6,0.6652499999999999,0.510025
61,0,5,0.35945000000000005,0.33069399999999993
61,1,3,0.27645,0.42389
61,2,5,0.43665,0.40171799999999996
61,3,4,0.31570000000000004,0.363055
61,4,6,0.72305,0.5543383333333333
62,0,5,0.36410000000000003,0.334972
62,1,3,0.3008,0.4612266666666667
62,2,5,0.50875,0.46804999999999997
62,3,4,0.34105,0.39220749999999993
62,4,6,0.6276,0.48116000000000003
63,0,5,0.3682500000000001,0.33879
63,1,3,0.28250000000000003,0.4331666666666667
63,2,5,0.519,0.4774799999999999
63,3,4,0.32789999999999997,0.37708499999999995
63,4,6,0.7071999999999999,0.5421866666666666
64,0,5,0.35795,0.329314
64,1,3,0.30695,0.47065666666666667
64,2,5,0.50685,0.46630199999999994
64,3,4,0.36465000000000003,0.4193475
64,4,6,0.69235,0.5308016666666666
65,0,5,0.3772,0.34702399999999994
65,1,3,0.32355,0.49610999999999994
65,2,5,0.5783,0.532036
65,3,4,0.2973,0.341895
65,4,6,0.6828,0.52348
66,0,5,0.37120000000000003,0.341504
66,1,3,0.34195000000000003,0.5243233333333334
66,2,5,0.47925,0.44090999999999997
66,3,4,0.33265,0.38254749999999993
66,4,6,0.67065,0.514165
67,0,5,0.37610000000000005,0.346012
67,1,3,0.2834,0.43454666666666664
67,2,5,0.52395,0.48203399999999996
67,3,4,0.28475,0.3274625
67,4,6,0.7134499999999999,0.5469783333333333
68,0,5,0.38,0.34959999999999997
68,1,3,0.29305000000000003,0.4493433333333334
68,2,5,0.45375000000000004,0.41745
68,3,4,0.3026,0.34798999999999997
68,4,6,0.7475499999999999,0.5731216666666666
69,0,5,0.47255,0.43474599999999997
69,1,3,0.2537,0.38900666666666667
69,2,5,0.4902000000000001,0.45098399999999994
69,3,4,0.3529,0.40583499999999995
69,4,6,0.7214499999999999,0.5531116666666666
70,0,5,0.36310000000000003,0.33405199999999996
70,1,3,0.35595000000000004,0.54579
70,2,5,0.53675,0.4938099999999999
70,3,4,0.29435,0.33850249999999993
70,4,6,0.71515,0.5482816666666667
71,0,5,0.4218,0.38805599999999996
71,1,3,0.37085,0.5686366666666668
71,2,5,0.44225000000000003,0.40686999999999995
71,3,4,0.32130000000000003,0.369495
71,4,6,0.7047999999999999,0.5403466666666665
72,0,5,0.3412,0.31390399999999996
72,1,3,0.34830000000000005,0.5340600000000001
72,2,5,0.44930000000000003,0.41335599999999995
72,3,4,0.2986,0.34339
72,4,6,0.7327,0.5617366666666667
73,0,5,0.4252,0.391184
73,1,3,0.33835000000000004,0.5188033333333334
73,2,5,0.5049,0.4645079999999999
73,3,4,0.35695,0.4104924999999999
73,4,6,0.66705,0.511405
74,0,5,0.3683,0.33883599999999997
74,1,3,0.27715,0.4249633333333334
74,2,5,0.5156499999999999,0.47439799999999993
74,3,4,0.31930000000000003,0.367195
74,4,6,0.70295,0.5389283333333333
75,0,5,0.40520000000000006,0.372784
75,1,3,0.36640000000000006,0.5618133333333334
75,2,5,0.4453500000000001,0.40972200000000003
75,3,4,0.3115,0.35822499999999996
75,4,6,0.6977499999999999,0.5349416666666666
76,0,5,0.42685,0.39270199999999994
76,1,3,0.27885,0.42757
76,2,5,0.4232,0.3893439999999999
76,3,4,0.33455,0.3847324999999999
76,4,6,0.6862999999999999,0.5261633333333332
77,0,5,0.39890000000000003,0.366988
77,1,3,0.29645,0.45455666666666666
77,2,5,0.47520000000000007,0.437184
77,3,4,0.25815,0.2968725
77,4,6,0.7536499999999999,0.5777983333333332
78,0,5,0.43835,0.4032819999999999
78,1,3,0.24655000000000002,0.37804333333333334
78,2,5,0.4642,0.42706399999999994
78,3,4,0.3498,0.40226999999999996
78,4,6,0.6599,0.5059233333333334
79,0,5,0.39735,0.36556199999999994
79,1,3,0.2107,0.3230733333333333
79,2,5,0.5927,0.5452839999999999
79,3,4,0.2922,0.33602999999999994
79,4,6,0.7213,0.5529966666666667
80,0,5,0.315,0.28979999999999995
80,1,3,0.25620000000000004,0.39284
80,2,5,0.53285,0.490222
80,3,4,0.28895000000000004,0.3322925
80,4,6,0.6686000000000001,0.5125933333333333
81,0,5,0.35425,0.32591
81,1,3,0.25885,0.3969033333333334
81,2,5,0.50485,0.46446199999999993
81,3,4,0.25505,0.2933075
81,4,6,0.7324499999999999,0.561545
82,0,5,0.35345000000000004,0.32517399999999996
82,1,3,0.17830000000000001,0.2733933333333334
82,2,5,0.51405,0.4729259999999999
82,3,4,0.2637,0.30325499999999994
82,4,6,0.7422500000000001,0.5690583333333333
83,0,5,0.4283,0.39403599999999994
