episode,train_step,avg_loss,avg_td_error,avg_q_value,avg_batch_reward,batch_size,epsilon
1,1,37.893417,5.439299,1.1075,0.585145,32,0.996250
1,2,24.077896,4.432658,-0.1947,0.585145,32,0.996250
1,3,18.948738,4.024351,-0.7756,0.585145,32,0.996250
1,4,15.538690,3.712518,-1.2285,0.585145,32,0.996250
1,5,12.875300,3.431008,-1.6306,0.585145,32,0.996250
1,6,10.751297,3.169948,-2.0053,0.585145,32,0.996250
1,7,9.013288,2.919127,-2.3651,0.585145,32,0.996250
1,8,7.607146,2.674672,-2.7177,0.585145,32,0.996250
1,9,6.499762,2.432656,-3.0637,0.585145,32,0.996250
1,10,5.655764,2.187628,-3.4132,0.585145,32,0.996250
1,11,5.094617,1.945199,-3.7559,0.585145,32,0.996250
1,12,4.844406,1.760383,-4.0155,0.585145,32,0.996250
1,13,4.764025,1.663458,-4.1486,0.585145,32,0.996250
1,14,4.733679,1.615326,-4.2140,0.585145,32,0.996250
1,15,4.718086,1.590290,-4.2453,0.585145,32,0.996250
1,16,4.705450,1.579832,-4.2561,0.585145,32,0.996250
1,17,4.692751,1.575516,-4.2587,0.585145,32,0.996250
1,18,4.680651,1.572645,-4.2600,0.585145,32,0.996250
1,19,4.668155,1.571989,-4.2572,0.585145,32,0.996250
1,20,4.654059,1.566425,-4.2614,0.585145,32,0.996250
1,21,4.639284,1.566853,-4.2561,0.585145,32,0.996250
1,22,4.625992,1.566243,-4.2543,0.585145,32,0.996250
1,23,4.612660,1.562940,-4.2553,0.585145,32,0.996250
1,24,4.601002,1.557974,-4.2594,0.585145,32,0.996250
1,25,4.589945,1.553351,-4.2625,0.585145,32,0.996250
1,26,4.579688,1.550368,-4.2639,0.585145,32,0.996250
1,27,4.569718,1.546459,-4.2663,0.585145,32,0.996250
1,28,4.560927,1.544077,-4.2670,0.585145,32,0.996250
1,29,4.553119,1.542553,-4.2668,0.585145,32,0.996250
1,30,4.545390,1.544107,-4.2614,0.585145,32,0.996250
2,31,4.821977,1.606802,-4.2999,0.529004,32,0.994375
2,32,56.661572,6.652039,-4.2395,0.529004,32,0.994375
2,33,50.065277,6.342756,-4.7046,0.529004,32,0.994375
2,34,44.413818,6.057088,-5.1375,0.529004,32,0.994375
2,35,39.356270,5.779118,-5.5564,0.529004,32,0.994375
2,36,34.804169,5.506299,-5.9653,0.529004,32,0.994375
2,37,30.665846,5.234582,-6.3725,0.529004,32,0.994375
2,38,26.925974,4.963521,-6.7777,0.529004,32,0.994375
2,39,23.569914,4.692316,-7.1823,0.529004,32,0.994375
2,40,20.596592,4.421252,-7.5869,0.529004,32,0.994375
2,41,18.001404,4.149581,-7.9915,0.529004,32,0.994375
2,42,15.785789,3.877435,-8.3961,0.529004,32,0.994375
2,43,13.950512,3.605987,-8.8007,0.529004,32,0.994375
2,44,12.495230,3.332660,-9.2058,0.529004,32,0.994375
2,45,11.406667,3.060510,-9.6096,0.529004,32,0.994375
2,46,10.692977,2.787249,-10.0107,0.529004,32,0.994375
2,47,10.341765,2.544255,-10.3844,0.529004,32,0.994375
2,48,10.252981,2.456994,-10.5345,0.529004,32,0.994375
2,49,10.191693,2.461750,-10.5193,0.529004,32,0.994375
2,50,10.157187,2.463428,-10.5090,0.529004,32,0.994375
2,51,10.102266,2.421128,-10.5805,0.529004,32,0.994375
2,52,10.054745,2.447430,-10.5308,0.529004,32,0.994375
2,53,10.016834,2.426117,-10.5632,0.529004,32,0.994375
2,54,9.976367,2.435899,-10.5428,0.529004,32,0.994375
2,55,9.939322,2.416973,-10.5682,0.529004,32,0.994375
2,56,9.902706,2.424726,-10.5495,0.529004,32,0.994375
2,57,9.867947,2.415230,-10.5568,0.529004,32,0.994375
2,58,9.834946,2.403296,-10.5759,0.529004,32,0.994375
2,59,9.805801,2.461760,-10.4401,0.529004,32,0.994375
2,60,9.812583,2.330001,-10.7210,0.529004,32,0.994375
3,61,10.580752,2.578040,-10.3274,0.566477,32,0.992500
3,62,182.926407,11.853391,-10.2761,0.566477,32,0.992500
3,63,168.995605,11.503076,-10.8416,0.566477,32,0.992500
3,64,157.317490,11.198367,-11.3201,0.566477,32,0.992500
3,65,146.390549,10.899040,-11.7898,0.566477,32,0.992500
3,66,136.075272,10.601982,-12.2556,0.566477,32,0.992500
3,67,126.308121,10.305487,-12.7190,0.566477,32,0.992500
3,68,117.055641,10.009158,-13.1818,0.566477,32,0.992500
3,69,108.314079,9.713090,-13.6444,0.566477,32,0.992500
3,70,100.078178,9.417173,-14.1070,0.566477,32,0.992500
3,71,92.349495,9.121408,-14.5692,0.566477,32,0.992500
3,72,85.116753,8.825323,-15.0317,0.566477,32,0.992500
3,73,78.369514,8.528576,-15.4953,0.566477,32,0.992500
