Episode,Timestamp,Agent_Count,Type
0,0.0,4,Simultaneous
0,29.88,2,Simultaneous
0,51.9,2,Simultaneous
0,53.42,3,Simultaneous
0,53.35,2,Conflict
1,0.0,4,Simultaneous
1,48.56,2,Simultaneous
1,49.22,2,Simultaneous
1,71.55,2,Simultaneous
1,80.77,2,Simultaneous
1,81.82,2,Simultaneous
1,45.79,2,Conflict
2,0.0,4,Simultaneous
2,1.79,3,Simultaneous
2,43.64,2,Simultaneous
2,58.83,2,Simultaneous
2,99.26,4,Conflict
3,0.0,4,Simultaneous
3,6.67,4,Simultaneous
3,46.44,3,Simultaneous
3,93.7,2,Simultaneous
3,15.86,4,Conflict
3,56.75,2,Conflict
3,60.95,2,Conflict
3,78.8,2,Conflict
4,0.0,4,Simultaneous
4,5.84,2,Simultaneous
4,39.04,2,Simultaneous
4,44.2,2,Simultaneous
4,69.36,2,Simultaneous
4,96.37,2,Simultaneous
4,37.78,3,Conflict
4,41.91,4,Conflict
5,0.0,4,Simultaneous
5,2.03,3,Simultaneous
5,18.55,2,Simultaneous
5,59.52,3,Simultaneous
5,4.67,2,Conflict
5,13.75,3,Conflict
5,17.15,4,Conflict
5,30.06,2,Conflict
5,34.28,2,Conflict
5,39.41,2,Conflict
5,99.16,2,Conflict
6,0.0,4,Simultaneous
6,10.63,2,Simultaneous
6,29.7,2,Simultaneous
6,60.31,2,Simultaneous
6,65.34,2,Conflict
6,76.48,3,Conflict
7,0.0,4,Simultaneous
7,50.03,3,Simultaneous
7,55.46,2,Simultaneous
7,58.0,2,Simultaneous
8,0.0,4,Simultaneous
8,6.03,3,Simultaneous
8,25.11,2,Simultaneous
8,96.53,2,Simultaneous
8,43.84,3,Conflict
8,74.78,2,Conflict
9,0.0,4,Simultaneous
9,16.5,3,Simultaneous
9,63.96,2,Simultaneous
9,65.29,3,Simultaneous
9,25.07,4,Conflict
9,82.31,3,Conflict
10,0.0,4,Simultaneous
10,7.3,2,Simultaneous
10,57.97,2,Simultaneous
10,83.3,3,Simultaneous
10,36.24,2,Conflict
10,44.81,3,Conflict
11,0.0,4,Simultaneous
11,26.3,3,Simultaneous
11,41.64,3,Simultaneous
11,63.78,2,Simultaneous
11,55.12,3,Conflict
12,0.0,4,Simultaneous
12,6.49,3,Simultaneous
12,54.5,2,Simultaneous
12,56.73,3,Simultaneous
12,5.86,4,Conflict
12,17.4,3,Conflict
12,17.51,3,Conflict
12,34.49,2,Conflict
12,58.53,2,Conflict
13,0.0,4,Simultaneous
13,38.4,3,Simultaneous
13,49.8,3,Simultaneous
13,79.36,2,Simultaneous
13,25.04,3,Conflict
13,27.56,2,Conflict
13,41.48,3,Conflict
13,47.87,3,Conflict
13,62.26,2,Conflict
13,71.46,2,Conflict
13,73.57,2,Conflict
13,80.66,3,Conflict
14,0.0,4,Simultaneous
14,43.25,2,Simultaneous
14,62.48,3,Simultaneous
14,67.53,2,Simultaneous
14,88.72,2,Conflict
15,0.0,4,Simultaneous
15,4.51,2,Simultaneous
15,18.47,3,Simultaneous
15,80.76,2,Simultaneous
15,17.65,3,Conflict
15,68.49,3,Conflict
16,0.0,4,Simultaneous
16,23.08,3,Simultaneous
16,48.56,2,Simultaneous
16,49.63,2,Simultaneous
16,1.92,3,Conflict
16,30.01,2,Conflict
16,93.48,3,Conflict
16,94.01,3,Conflict
17,0.0,4,Simultaneous
17,40.66,2,Simultaneous
17,85.29,2,Simultaneous
17,86.35,2,Simultaneous
17,66.42,2,Conflict
17,84.78,2,Conflict
