Episode,Total_Parallel_DPs,Simultaneous_DPs,Conflict_DPs
0,5,4,1
1,7,6,1
2,5,4,1
3,8,4,4
4,8,6,2
5,11,4,7
6,6,4,2
7,4,4,0
8,6,4,2
9,6,4,2
10,6,4,2
11,5,4,1
12,9,4,5
13,12,4,8
14,5,4,1
15,6,4,2
16,8,4,4
17,6,4,2
18,9,4,5
19,6,4,2
20,8,4,4
21,7,6,1
22,10,6,4
23,4,4,0
24,10,4,6
25,7,4,3
26,10,4,6
27,6,4,2
28,9,6,3
29,7,6,1
30,11,6,5
31,8,6,2
32,6,4,2
33,6,4,2
34,6,4,2
35,5,4,1
36,11,4,7
37,8,4,4
38,8,4,4
39,10,6,4
40,6,4,2
41,10,4,6
42,5,4,1
43,4,4,0
44,6,4,2
45,5,4,1
46,4,4,0
47,6,6,0
48,4,4,0
49,6,6,0
50,5,4,1
51,4,4,0
52,4,4,0
53,5,4,1
54,9,4,5
55,9,4,5
56,5,4,1
57,8,4,4
58,8,4,4
59,7,4,3
60,7,4,3
61,5,4,1
62,4,4,0
63,8,4,4
64,6,4,2
65,8,6,2
66,11,4,7
67,6,4,2
68,9,4,5
69,4,4,0
70,11,4,7
71,6,4,2
72,17,8,9
73,6,6,0
74,7,4,3
75,5,4,1
76,14,4,10
77,11,8,3
78,9,4,5
79,6,4,2
80,4,4,0
81,7,4,3
82,10,6,4
83,9,4,5
84,7,4,3
85,9,4,5
86,7,6,1
87,8,4,4
88,8,4,4
89,7,6,1
90,7,4,3
91,7,6,1
92,4,4,0
93,8,4,4
94,6,4,2
95,8,4,4
96,10,6,4
97,6,4,2
98,6,4,2
99,7,4,3
100,6,4,2
101,6,4,2
102,10,6,4
103,6,4,2
104,6,4,2
105,5,4,1
106,7,6,1
107,7,4,3
108,9,4,5
109,13,8,5
110,8,6,2
111,9,4,5
112,6,4,2
113,14,6,8
114,5,4,1
115,6,4,2
116,6,4,2
117,9,4,5
118,6,4,2
119,7,6,1
120,5,4,1
121,6,4,2
122,6,4,2
123,5,4,1
124,7,6,1
125,5,4,1
126,5,4,1
127,5,4,1
128,4,4,0
129,12,6,6
130,6,4,2
131,7,4,3
132,6,4,2
133,6,4,2
134,7,4,3
135,9,4,5
136,7,6,1
137,4,4,0
138,6,4,2
139,5,4,1
140,8,4,4
141,4,4,0
142,13,10,3
143,7,4,3
144,6,4,2
145,7,4,3
146,8,6,2
147,8,4,4
148,6,4,2
149,6,4,2
150,5,4,1
151,8,6,2
152,7,4,3
153,7,4,3
154,8,6,2
155,4,4,0
156,5,4,1
157,4,4,0
158,6,4,2
159,9,6,3
160,5,4,1
161,6,4,2
162,4,4,0
163,5,4,1
164,7,6,1
165,6,4,2
166,5,4,1
167,7,4,3
168,5,4,1
169,5,4,1
