DP_Index,Episode,Timestamp,Agent_Count,Type
1,0,0.00,4,simultaneous
2,0,6.92,3,conflict
3,1,0.00,4,simultaneous
4,1,8.57,2,simultaneous
5,1,43.75,3,conflict
6,2,0.00,4,simultaneous
7,2,32.98,3,conflict
8,3,0.00,4,simultaneous
9,3,10.10,3,conflict
10,3,26.57,2,conflict
11,3,29.98,2,conflict
12,3,40.27,3,conflict
13,4,0.00,4,simultaneous
14,4,25.57,2,simultaneous
15,4,27.75,3,conflict
16,4,29.75,3,conflict
17,5,0.00,4,simultaneous
18,5,12.93,3,conflict
19,5,16.05,2,conflict
20,5,40.10,2,conflict
21,5,43.80,3,conflict
22,5,44.05,3,conflict
23,5,45.58,3,conflict
24,5,47.02,3,conflict
25,6,0.00,4,simultaneous
26,6,24.27,3,conflict
27,6,39.10,2,conflict
28,7,0.00,4,simultaneous
29,8,0.00,4,simultaneous
30,8,30.10,3,conflict
31,8,35.27,2,conflict
32,9,0.00,4,simultaneous
33,9,33.27,3,conflict
34,9,45.82,2,conflict
35,10,0.00,4,simultaneous
36,10,10.10,3,conflict
37,10,40.92,2,conflict
38,11,0.00,4,simultaneous
39,11,42.27,3,conflict
40,12,0.00,4,simultaneous
41,12,15.93,3,conflict
42,12,19.78,2,conflict
43,12,22.98,2,conflict
44,12,23.93,3,conflict
45,12,29.10,3,conflict
46,13,0.00,4,simultaneous
47,13,7.58,3,conflict
48,13,15.22,2,conflict
49,13,17.23,2,conflict
50,13,17.40,3,conflict
51,13,25.05,3,conflict
52,13,31.27,3,conflict
53,13,35.82,3,conflict
54,13,37.80,3,conflict
55,14,0.00,4,simultaneous
56,14,46.82,3,conflict
57,15,0.00,4,simultaneous
58,15,11.75,3,conflict
59,15,27.75,2,conflict
60,16,0.00,4,simultaneous
61,16,12.97,3,conflict
62,16,13.82,2,conflict
63,16,45.23,2,conflict
64,16,47.82,3,conflict
65,17,0.00,4,simultaneous
66,17,12.97,3,conflict
67,17,48.80,2,conflict
68,18,0.00,4,simultaneous
69,18,9.05,3,conflict
70,18,25.57,2,conflict
71,18,35.98,2,conflict
72,18,43.10,3,conflict
73,18,47.98,3,conflict
74,19,0.00,4,simultaneous
75,19,12.57,3,conflict
76,19,14.93,2,conflict
77,20,0.00,4,simultaneous
78,20,20.93,3,conflict
79,20,22.05,2,conflict
80,20,25.75,2,conflict
81,20,39.82,3,conflict
82,21,0.00,4,simultaneous
83,21,41.75,3,conflict
84,21,46.75,2,simultaneous
85,22,0.00,4,simultaneous
86,22,34.27,3,conflict
87,22,35.58,2,simultaneous
88,22,35.58,2,conflict
89,22,37.98,3,conflict
90,22,42.15,3,conflict
91,23,0.00,4,simultaneous
92,24,0.00,4,simultaneous
93,24,23.27,3,conflict
94,24,24.10,2,conflict
95,24,26.27,2,conflict
96,24,33.05,3,conflict
97,24,36.27,3,conflict
98,24,49.27,3,conflict
99,25,0.00,4,simultaneous
100,25,8.35,3,conflict
101,25,11.28,2,conflict
102,25,22.93,2,conflict
103,26,0.00,4,simultaneous
104,26,7.30,3,conflict
105,26,20.40,2,conflict
106,26,22.05,2,conflict
107,26,36.10,3,conflict
108,26,42.75,3,conflict
109,26,46.58,3,conflict
110,27,0.00,4,simultaneous
111,27,6.58,3,conflict
112,27,45.92,2,conflict
113,28,0.00,4,simultaneous
114,28,23.75,3,conflict
115,28,30.75,2,simultaneous
116,28,30.75,2,conflict
117,28,37.75,3,conflict
118,29,0.00,4,simultaneous
119,29,2.75,2,simultaneous
120,29,5.75,3,conflict
121,30,0.00,4,simultaneous
122,30,34.27,3,conflict
123,30,38.12,2,conflict
124,30,38.92,2,conflict
125,30,41.58,2,simultaneous
126,30,41.58,2,conflict
127,30,42.92,3,conflict
128,31,0.00,4,simultaneous
129,31,6.05,3,conflict
130,31,7.10,2,simultaneous
131,31,37.80,2,conflict
132,32,0.00,4,simultaneous
133,32,9.28,3,conflict
134,32,36.82,2,conflict
135,33,0.00,4,simultaneous
136,33,8.97,3,conflict
137,33,41.98,2,conflict
138,34,0.00,4,simultaneous
139,34,8.10,3,conflict
140,34,20.57,2,conflict
141,35,0.00,4,simultaneous
142,35,45.23,3,conflict
143,36,0.00,4,simultaneous
144,36,21.57,3,conflict
145,36,29.83,2,conflict
146,36,32.62,2,conflict
147,36,34.15,3,conflict
148,36,34.73,3,conflict
149,36,41.75,3,conflict
150,36,49.05,3,conflict
151,37,0.00,4,simultaneous
152,37,8.53,3,conflict
153,37,13.82,2,conflict
154,37,28.93,2,conflict
155,37,30.93,3,conflict
156,38,0.00,4,simultaneous
157,38,12.80,3,conflict
158,38,15.22,2,conflict
159,38,15.80,2,conflict
160,38,17.23,3,conflict
161,39,0.00,4,simultaneous
162,39,15.80,3,conflict
163,39,18.10,2,conflict
164,39,23.40,2,conflict
165,39,28.75,2,simultaneous
166,39,29.05,3,conflict
167,40,0.00,4,simultaneous
168,40,8.75,3,conflict
169,40,9.75,2,conflict
170,41,0.00,4,simultaneous
171,41,10.05,3,conflict
172,41,13.97,2,conflict
173,41,15.57,2,conflict
174,41,25.75,3,conflict
175,41,27.75,3,conflict
176,41,46.82,3,conflict
177,42,0.00,4,simultaneous
178,42,29.98,3,conflict
179,43,0.00,4,simultaneous
180,44,0.00,4,simultaneous
181,44,17.05,3,conflict
182,44,27.78,2,conflict
183,45,0.00,4,simultaneous
184,45,9.10,3,conflict
185,46,0.00,4,simultaneous
186,47,0.00,4,simultaneous
187,47,37.05,2,simultaneous
188,48,0.00,4,simultaneous
189,49,0.00,4,simultaneous
190,49,26.90,2,simultaneous
191,50,0.00,4,simultaneous
192,50,29.10,3,conflict
193,51,0.00,4,simultaneous
194,52,0.00,4,simultaneous
195,53,0.00,4,simultaneous
196,53,48.58,3,conflict
197,54,0.00,4,simultaneous
198,54,14.15,3,conflict
199,54,39.05,2,conflict
200,54,41.58,2,conflict
201,54,44.10,3,conflict
202,54,46.58,3,conflict
203,55,0.00,4,simultaneous
204,55,7.92,3,conflict
205,55,13.85,2,conflict
206,55,17.82,2,conflict
207,55,26.75,3,conflict
208,55,30.05,3,conflict
209,56,0.00,4,simultaneous
210,56,47.75,3,conflict
211,57,0.00,4,simultaneous
212,57,8.15,3,conflict
213,57,20.05,2,conflict
214,57,22.23,2,conflict
215,57,49.82,3,conflict
216,58,0.00,4,simultaneous
217,58,12.28,3,conflict
218,58,15.15,2,conflict
219,58,18.57,2,conflict
220,58,29.57,3,conflict
221,59,0.00,4,simultaneous
222,59,26.93,3,conflict
223,59,33.60,2,conflict
224,59,41.82,2,conflict
225,60,0.00,4,simultaneous
226,60,32.05,3,conflict
227,60,37.98,2,conflict
228,60,39.23,2,conflict
229,61,0.00,4,simultaneous
230,61,26.57,3,conflict
231,62,0.00,4,simultaneous
232,63,0.00,4,simultaneous
233,63,8.70,3,conflict
234,63,10.27,2,conflict
235,63,45.10,2,conflict
236,63,49.05,3,conflict
237,64,0.00,4,simultaneous
238,64,45.58,3,conflict
239,64,49.58,2,conflict
240,65,0.00,4,simultaneous
241,65,11.10,2,simultaneous
242,65,14.10,3,conflict
243,65,32.10,3,conflict
244,66,0.00,4,simultaneous
245,66,21.57,3,conflict
246,66,24.05,2,conflict
247,66,33.27,2,conflict
248,66,35.58,3,conflict
249,66,35.82,3,conflict
250,66,45.58,3,conflict
251,66,49.68,3,conflict
252,67,0.00,4,simultaneous
253,67,10.05,3,conflict
